transaction_id,year,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Balance,Revenue
1,2025,15:06:16,1,5,Lower Manhattan,68,3.709109907883216,Bakery,Pastry,Chocolate Croissant,73.85,3.709109907883216
2,2025,06:05:58,1,8,Hell's Kitchen,69,3.956383901742097,Bakery,Pastry,Almond Croissant,13.13,3.956383901742097
3,2025,13:16:37,2,8,Hell's Kitchen,54,2.967287926306573,Tea,Brewed Green tea,Jade Green Tea Lg,56.6,5.934575852613146
4,2025,16:45:26,1,5,Lower Manhattan,11,4.945479877177622,Coffee,Barista Espresso,Mocha Lg,48.61,4.945479877177622
5,2025,14:01:52,1,8,Hell's Kitchen,65,3.214561920165454,Bakery,Biscotti,Hazelnut Biscotti,60.02,3.214561920165454
6,2025,15:36:46,1,3,Astoria,22,2.967287926306573,Coffee,Drip coffee,Our Old Time Diner Blend Lg,91.13,2.967287926306573
7,2025,18:17:23,1,8,Hell's Kitchen,40,2.472739938588811,Tea,Brewed Black tea,Earl Grey Rg,55.32,2.472739938588811
8,2025,13:00:00,2,8,Hell's Kitchen,56,4.450931889459859,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,6.95,8.901863778919719
9,2025,12:42:44,1,8,Hell's Kitchen,68,3.709109907883216,Bakery,Pastry,Chocolate Croissant,26.25,3.709109907883216
10,2025,17:07:47,3,5,Lower Manhattan,38,2.472739938588811,Tea,Brewed Chai tea,Traditional Blend Chai Rg,65.34,7.418219815766433
11,2025,07:34:18,2,8,Hell's Kitchen,38,2.472739938588811,Tea,Brewed Chai tea,Traditional Blend Chai Rg,63.04,4.945479877177622
12,2025,15:12:19,1,8,Hell's Kitchen,64,3.214561920165454,Bakery,Scone,Ginger Scone,64.6,3.214561920165454
13,2025,16:25:03,1,8,Hell's Kitchen,80,6.429123840330908,Packaged Chocolate,Bar,Dark Chocolate Bar 3oz,68.08,6.429123840330908
14,2025,19:49:38,2,3,Astoria,34,3.0661975238501253,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,76.02,6.132395047700251
15,2025,18:36:35,1,5,Lower Manhattan,17,2.1760111459581535,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Sm,45.48,2.1760111459581535
16,2025,07:07:39,1,8,Hell's Kitchen,53,2.472739938588811,Tea,Brewed Green tea,Jade Green Tea Rg,89.02,2.472739938588811
17,2025,19:31:29,1,3,Astoria,30,3.709109907883216,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,98.76,3.709109907883216
18,2025,14:15:27,1,8,Hell's Kitchen,46,3.165107121393678,Tea,Brewed Black tea,Darjeeling Lg,34.11,3.165107121393678
19,2025,11:43:39,1,5,Lower Manhattan,61,3.709109907883216,Bakery,Scone,Jumbo Savory Scone,75.17,3.709109907883216
20,2025,08:25:11,1,3,Astoria,56,4.450931889459859,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,62.75,4.450931889459859
21,2025,07:17:51,2,5,Lower Manhattan,25,3.461835914024335,Coffee,Organic brewed coffee,Brazilian Lg,24.94,6.92367182804867
22,2025,12:06:48,1,3,Astoria,19,3.26401671893723,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Lg,26.45,3.26401671893723
23,2025,13:28:18,1,8,Hell's Kitchen,19,3.26401671893723,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Lg,85.95,3.26401671893723
24,2025,18:43:15,1,5,Lower Manhattan,50,2.967287926306573,Tea,Brewed herbal tea,Lemon Grass Lg,46.32,2.967287926306573
25,2025,08:30:27,2,3,Astoria,37,3.956383901742097,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,14.16,7.912767803484194
26,2025,15:33:28,1,3,Astoria,36,2.472739938588811,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,50.4,2.472739938588811
27,2025,11:44:39,2,8,Hell's Kitchen,25,3.461835914024335,Coffee,Organic brewed coffee,Brazilian Lg,64.44,6.92367182804867
28,2025,18:24:49,3,3,Astoria,13,3.461835914024335,Coffee,Gourmet brewed coffee,Ethiopia Lg,84.72,10.385507742073006
29,2025,08:25:45,2,5,Lower Manhattan,46,3.165107121393678,Tea,Brewed Black tea,Darjeeling Lg,74.35,6.330214242787356
30,2025,08:24:34,1,3,Astoria,45,2.5716495361323632,Tea,Brewed Black tea,Darjeeling Rg,17.21,2.5716495361323632
31,2025,11:43:09,1,5,Lower Manhattan,54,2.967287926306573,Tea,Brewed Green tea,Jade Green Tea Lg,17.02,2.967287926306573
32,2025,15:39:24,1,8,Hell's Kitchen,55,3.461835914024335,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,32.98,3.461835914024335
33,2025,16:20:33,2,3,Astoria,49,2.472739938588811,Tea,Brewed herbal tea,Lemon Grass Rg,78.59,4.945479877177622
34,2025,07:31:31,2,8,Hell's Kitchen,49,2.472739938588811,Tea,Brewed herbal tea,Lemon Grass Rg,18.88,4.945479877177622
35,2025,15:58:29,1,3,Astoria,29,3.0661975238501253,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,9.82,3.0661975238501253
36,2025,19:40:05,1,5,Lower Manhattan,11,4.945479877177622,Coffee,Barista Espresso,Mocha Lg,50.88,4.945479877177622
37,2025,11:12:16,1,8,Hell's Kitchen,25,3.461835914024335,Coffee,Organic brewed coffee,Brazilian Lg,24.31,3.461835914024335
38,2025,11:18:57,1,8,Hell's Kitchen,20,1.9781919508710486,Coffee,Drip coffee,Our Old Time Diner Blend Sm,49.98,1.9781919508710486
39,2025,12:07:47,1,5,Lower Manhattan,58,3.709109907883216,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,25.27,3.709109907883216
40,2025,19:55:25,2,5,Lower Manhattan,30,3.709109907883216,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,20.99,7.418219815766432
41,2025,14:15:48,1,3,Astoria,53,2.472739938588811,Tea,Brewed Green tea,Jade Green Tea Rg,68.76,2.472739938588811
42,2025,16:45:01,1,5,Lower Manhattan,40,2.472739938588811,Tea,Brewed Black tea,Earl Grey Rg,50.22,2.472739938588811
43,2025,07:46:29,1,5,Lower Manhattan,16,2.967287926306573,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,69.41,2.967287926306573
44,2025,09:58:34,1,8,Hell's Kitchen,55,3.461835914024335,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,98.43,3.461835914024335
45,2025,06:23:42,1,5,Lower Manhattan,11,4.945479877177622,Coffee,Barista Espresso,Mocha Lg,85.34,4.945479877177622
