product_id,product_category,product_type,product_detail,unit_price,total_units,total_transactions,total_revenue,volume_rank,revenue_share_pct,revenue_rank,efficiency_score,product_efficiency_score,total_units_norm,total_revenue_norm,efficiency_score_norm,hero_score,cumulative_revenue,cumulative_pct,is_80_pct
76,Branded,Merchandise,Afficionado T-Shirt,22.0,1821,1408,40062.0,51,5.03,1,22.0,40062.0,0.38408535230042584,0.9999999999999749,0.99999999995,75.4,40062.0,5.03,True
73,Coffee Beans,Whole Bean,Brazilian Whole Bean 12oz,15.0,1883,1456,28245.0,49,3.55,2,15.0,28245.0,0.3978661924871309,0.7024070352517918,0.6499999999675,57.0,68307.0,8.58,True
75,Branded,Merchandise,Afficionado Mug,12.0,2152,1652,25824.0,46,3.24,3,12.0,25824.0,0.45765725716815786,0.6414378749187672,0.499999999975,54.0,94131.0,11.82,True
71,Coffee Beans,Whole Bean,Ethiopia Whole Bean 12oz,18.0,1298,998,23364.0,61,2.93,4,18.0,23364.0,0.2678372971770909,0.5794865595865737,0.79999999996,49.9,117495.0,14.75,True
74,Coffee Beans,Ground,Our Old Time Diner Blend Ground 12oz,14.0,1518,1156,21252.0,55,2.67,5,14.0,21252.0,0.31673705267830254,0.5262990888623491,0.59999999997,45.7,138747.0,17.42,True
56,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,4542,3492,20439.0,2,2.57,6,4.5,20439.0,0.9888864192040477,0.5058249346489047,0.12499999999375,62.3,159186.0,19.99,True
5,Coffee,Barista Espresso,Latte Lg,4.75,4043,3109,19204.25,8,2.41,7,4.75,19204.25,0.8779728828626632,0.4747296555406014,0.137499999993125,56.9,178390.25,22.4,True
27,Coffee,Organic brewed coffee,Sustainably Grown Organic Lg,4.75,3766,2888,17888.5,17,2.25,8,4.75,17888.5,0.8164036452543194,0.4415945160494089,0.137499999993125,53.1,196278.75,24.65,True
78,Loose Tea,Loose Leaf,Peppermint Loose 4oz,9.5,1798,1384,17081.0,53,2.15,9,9.5,17081.0,0.37897310513439003,0.4212588708743088,0.37499999998125,39.5,213359.75,26.79,True
10,Coffee,Barista Espresso,Mocha Rg,4.5,3769,2947,16960.5,16,2.13,10,4.5,16960.5,0.8170704601020633,0.418224263761492,0.12499999999375,51.9,230320.25,28.92,True
2,Coffee,Barista Espresso,Latte,3.75,4406,3405,16522.5,5,2.07,11,3.75,16522.5,0.9586574794396624,0.4071939076169796,0.087499999995625,56.4,246842.75,31.0,True
59,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,3431,2608,16297.25,23,2.05,12,4.75,16297.25,0.741942653922929,0.4015213329102411,0.137499999993125,48.5,263140.0,33.04,True
1,Coffee,Barista Espresso,Latte Rg,4.25,3603,2820,15312.75,19,1.92,13,4.25,15312.75,0.7801733718602399,0.37672821504660514,0.112499999994375,48.5,278452.75,34.97,True
37,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0,3822,2936,15288.0,15,1.92,14,4.0,15288.0,0.828850855745537,0.3761049243740556,0.099999999995,50.2,293740.75,36.89,True
58,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,3953,3064,14823.75,11,1.86,15,3.75,14823.75,0.8579684374303493,0.3644135023647179,0.087499999995625,50.6,308564.5,38.75,True
26,Coffee,Organic brewed coffee,Sustainably Grown Organic Rg,3.75,3918,3020,14692.5,13,1.85,16,3.75,14692.5,0.8501889308733384,0.36110817304059173,0.087499999995625,50.2,323257.0,40.59,True
79,Flavours,Syrup,Vanilla Syrup 12oz,8.0,1802,1401,14416.0,52,1.81,17,8.0,14416.0,0.37986219159804846,0.35414494593109924,0.299999999985,35.4,337673.0,42.4,True
9,Coffee,Barista Espresso,Carmelized Honey Latte Lg,5.25,2739,2087,14379.75,38,1.81,18,5.25,14379.75,0.5881306957100271,0.3532320454511025,0.162499999991875,40.9,352052.75,44.21,True
